Czas,Impulsowa_g
0,0
0.016667,0.0123961
0.033334,0.0245839
0.050001,0.0365634
0.066668,0.0483349
0.083335,0.0598985
0.100002,0.0712544
0.116669,0.082403
0.133336,0.0933447
0.150003,0.10408
0.16667,0.114609
0.183337,0.124932
0.200004,0.13505
0.216671,0.144964
0.233338,0.154674
0.250005,0.164181
0.266672,0.173486
0.283339,0.182589
0.300006,0.191491
0.316673,0.200193
0.33334,0.208697
0.350007,0.217002
0.366674,0.22511
0.383341,0.233023
0.400008,0.24074
0.416675,0.248263
0.433342,0.255594
0.450009,0.262733
0.466676,0.269682
0.483343,0.276441
0.50001,0.283013
0.516677,0.289398
0.533344,0.295598
0.550011,0.301614
0.566678,0.307447
0.583345,0.313099
0.600012,0.318572
0.616679,0.323866
0.633346,0.328984
0.650013,0.333926
0.66668,0.338695
0.683347,0.343292
0.700014,0.347718
0.716681,0.351975
0.733348,0.356065
0.750015,0.359989
0.766682,0.363749
0.783349,0.367346
0.800016,0.370783
0.816683,0.374062
0.83335,0.377182
0.850017,0.380148
0.866684,0.382959
0.883351,0.385619
0.900018,0.388129
0.916685,0.39049
0.933352,0.392704
0.950019,0.394774
0.966686,0.396701
0.983353,0.398486
1.00002,0.400132
1.01669,0.401641
1.03335,0.403015
1.05002,0.404254
1.06669,0.405362
1.08336,0.40634
1.10002,0.407189
1.11669,0.407913
1.13336,0.408512
1.15002,0.408988
1.16669,0.409344
1.18336,0.409582
1.20002,0.409703
1.21669,0.409708
1.23336,0.409601
1.25003,0.409383
1.26669,0.409056
1.28336,0.408621
1.30003,0.408081
1.31669,0.407438
1.33336,0.406692
1.35003,0.405848
1.36669,0.404905
1.38336,0.403866
1.40003,0.402734
1.4167,0.401509
1.43336,0.400193
1.45003,0.398789
1.4667,0.397299
1.48336,0.395724
1.50003,0.394065
1.5167,0.392326
1.53336,0.390507
1.55003,0.388611
1.5667,0.386639
1.58337,0.384593
1.60003,0.382475
1.6167,0.380287
1.63337,0.37803
1.65003,0.375706
1.6667,0.373317
1.68337,0.370865
1.70003,0.368351
1.7167,0.365777
1.73337,0.363145
1.75004,0.360457
1.7667,0.357713
1.78337,0.354917
1.80004,0.352068
1.8167,0.34917
1.83337,0.346224
1.85004,0.343231
1.8667,0.340193
1.88337,0.337111
1.90004,0.333988
1.91671,0.330824
1.93337,0.327621
1.95004,0.324381
1.96671,0.321105
1.98337,0.317795
2.00004,0.314452
2.01671,0.311077
2.03337,0.307673
2.05004,0.30424
2.06671,0.30078
2.08338,0.297295
2.10004,0.293785
2.11671,0.290252
2.13338,0.286698
2.15004,0.283123
2.16671,0.27953
2.18338,0.275919
2.20004,0.272292
2.21671,0.268649
2.23338,0.264993
2.25004,0.261324
2.26671,0.257644
2.28338,0.253954
2.30004,0.250254
2.31671,0.246547
2.33338,0.242834
2.35005,0.239115
2.36671,0.235391
2.38338,0.231664
2.40005,0.227935
2.41671,0.224205
2.43338,0.220474
2.45005,0.216745
2.46671,0.213017
2.48338,0.209293
