Czas,Skokowa_h
0,0
0.016667,0.00836716
0.033334,0.0167974
0.050001,0.0252845
0.066668,0.0338221
0.083335,0.0424041
0.100002,0.0510243
0.116669,0.0596766
0.133336,0.0683549
0.150003,0.0770532
0.16667,0.0857657
0.183337,0.0944864
0.200004,0.103209
0.216671,0.111929
0.233338,0.12064
0.250005,0.129336
0.266672,0.138011
0.283339,0.146661
0.300006,0.15528
0.316673,0.163862
0.33334,0.172402
0.350007,0.180895
0.366674,0.189335
0.383341,0.197718
0.400008,0.206038
0.416675,0.214291
0.433342,0.222472
0.450009,0.230576
0.466676,0.238597
0.483343,0.246532
0.50001,0.254376
0.516677,0.262125
0.533344,0.269773
0.550011,0.277317
0.566678,0.284752
0.583345,0.292074
0.600012,0.29928
0.616679,0.306365
0.633346,0.313324
0.650013,0.320155
0.66668,0.326854
0.683347,0.333416
0.700014,0.339839
0.716681,0.346118
0.733348,0.352251
0.750015,0.358234
0.766682,0.364063
0.783349,0.369736
0.800016,0.375249
0.816683,0.3806
0.83335,0.385785
0.850017,0.390803
0.866684,0.395649
0.883351,0.400321
0.900018,0.404818
0.916685,0.409136
0.933352,0.413272
0.950019,0.417226
0.966686,0.420994
0.983353,0.424574
1.00002,0.427965
1.01669,0.431165
1.03335,0.434171
1.05002,0.436981
1.06669,0.439595
1.08336,0.442011
1.10002,0.444226
1.11669,0.446241
1.13336,0.448053
1.15002,0.449661
1.16669,0.451064
1.18336,0.452261
1.20002,0.45325
1.21669,0.454033
1.23336,0.454606
1.25003,0.45497
1.26669,0.455124
1.28336,0.455067
1.30003,0.4548
1.31669,0.454321
1.33336,0.45363
1.35003,0.452727
1.36669,0.451613
1.38336,0.450286
1.40003,0.448747
1.4167,0.446997
1.43336,0.445034
1.45003,0.44286
1.4667,0.440475
1.48336,0.43788
1.50003,0.435074
1.5167,0.432059
1.53336,0.428835
1.55003,0.425403
1.5667,0.421763
1.58337,0.417917
1.60003,0.413866
1.6167,0.40961
1.63337,0.405151
1.65003,0.400489
1.6667,0.395627
1.68337,0.390565
1.70003,0.385305
1.7167,0.379849
1.73337,0.374197
1.75004,0.368351
1.7667,0.362314
1.78337,0.356086
1.80004,0.34967
1.8167,0.343067
1.83337,0.33628
1.85004,0.329309
1.8667,0.322158
1.88337,0.314829
1.90004,0.307323
1.91671,0.299643
1.93337,0.29179
1.95004,0.283768
1.96671,0.275579
1.98337,0.267225
2.00004,0.258708
2.01671,0.250032
2.03337,0.241198
2.05004,0.232209
2.06671,0.223069
2.08338,0.213779
2.10004,0.204342
2.11671,0.194762
2.13338,0.185041
2.15004,0.175182
2.16671,0.165188
2.18338,0.155062
2.20004,0.144806
2.21671,0.134425
2.23338,0.123921
2.25004,0.113297
2.26671,0.102556
2.28338,0.0917024
2.30004,0.0807383
2.31671,0.0696673
2.33338,0.0584926
2.35005,0.0472177
2.36671,0.0358458
2.38338,0.0243804
2.40005,0.0128248
2.41671,0.00118252
2.43338,-0.010543
2.45005,-0.0223483
2.46671,-0.0342299
2.48338,-0.0461842
2.50005,-0.0582077
2.51671,-0.0702968
2.53338,-0.082448
2.55005,-0.0946576
2.56672,-0.106922
2.58338,-0.119238
2.60005,-0.131601
2.61672,-0.144008
2.63338,-0.156456
2.65005,-0.16894
2.66672,-0.181457
2.68338,-0.194003
2.70005,-0.206575
2.71672,-0.219168
2.73338,-0.23178
2.75005,-0.244406
2.76672,-0.257043
2.78338,-0.269687
2.80005,-0.282334
2.81672,-0.29498
2.83339,-0.307622
2.85005,-0.320257
2.86672,-0.33288
2.88339,-0.345488
2.90005,-0.358076
2.91672,-0.370642
2.93339,-0.383182
2.95005,-0.395692
2.96672,-0.408168
2.98339,-0.420607
3.00005,-0.433005
3.01672,-0.445358
3.03339,-0.457663
3.05005,-0.469916
3.06672,-0.482114
3.08339,-0.494254
3.10006,-0.50633
3.11672,-0.518341
3.13339,-0.530282
3.15006,-0.54215
3.16672,-0.553942
3.18339,-0.565654
3.20006,-0.577282
3.21672,-0.588824
3.23339,-0.600276
3.25006,-0.611634
3.26672,-0.622896
3.28339,-0.634058
3.30006,-0.645116
3.31673,-0.656068
3.33339,-0.66691
3.35006,-0.677639
3.36673,-0.688253
3.38339,-0.698747
3.40006,-0.709119
3.41673,-0.719365
3.43339,-0.729484
3.45006,-0.739471
3.46673,-0.749324
3.48339,-0.75904
3.50006,-0.768616
3.51673,-0.778049
3.53339,-0.787336
3.55006,-0.796476
3.56673,-0.805464
3.5834,-0.814299
3.60006,-0.822977
3.61673,-0.831497
3.6334,-0.839855
3.65006,-0.848049
3.66673,-0.856077
3.6834,-0.863936
3.70006,-0.871624
3.71673,-0.879139
3.7334,-0.886477
3.75006,-0.893638
3.76673,-0.900619
3.7834,-0.907417
3.80006,-0.914031
3.81673,-0.920459
3.8334,-0.926698
3.85007,-0.932747
3.86673,-0.938603
3.8834,-0.944266
3.90007,-0.949733
3.91673,-0.955002
3.9334,-0.960072
3.95007,-0.964941
3.96673,-0.969607
3.9834,-0.97407
4.00007,-0.978327
4.01673,-0.982377
4.0334,-0.986218
4.05007,-0.98985
4.06674,-0.993271
4.0834,-0.99648
4.10007,-0.999476
4.11674,-1.00226
4.1334,-1.00482
4.15007,-1.00717
4.16674,-1.0093
4.1834,-1.01122
4.20007,-1.01291
4.21674,-1.01439
4.2334,-1.01564
4.25007,-1.01667
4.26674,-1.01749
4.2834,-1.01807
4.30007,-1.01844
4.31674,-1.01858
4.33341,-1.0185
4.35007,-1.01819
4.36674,-1.01766
4.38341,-1.01691
4.40007,-1.01593
4.41674,-1.01472
4.43341,-1.01329
4.45007,-1.01164
4.46674,-1.00976
4.48341,-1.00766
4.50007,-1.00533
4.51674,-1.00277
4.53341,-0.999997
4.55008,-0.996996
4.56674,-0.993772
4.58341,-0.990324
4.60008,-0.986654
4.61674,-0.982762
4.63341,-0.978649
4.65008,-0.974315
4.66674,-0.969762
4.68341,-0.964989
4.70008,-0.959997
4.71674,-0.954789
4.73341,-0.949363
4.75008,-0.943723
4.76674,-0.937867
4.78341,-0.931798
4.80008,-0.925517
4.81675,-0.919025
4.83341,-0.912323
4.85008,-0.905412
4.86675,-0.898294
4.88341,-0.89097
4.90008,-0.883442
4.91675,-0.875711
4.93341,-0.867778
4.95008,-0.859645
4.96675,-0.851315
4.98341,-0.842788
