K,T,J
0.255417,0.378016,39.9995
0.887949,0.574946,23.6899
0.0574844,0.941482,14.8765
0.804058,0.607147,51.39
0.677624,0.159846,62.9433
0.866107,0.699344,2.32293
0.992775,0.953261,68.0198
0.605337,0.976705,0.750531
0.1223,0.867448,174.605
0.247677,0.536936,0.276523
0.376266,0.761633,171.884
0.732624,0.975963,103.657
0.950935,0.758682,22.4903
0.893495,0.875565,113.354
0.60259,0.466011,4.41171
0.967344,0.0391767,89.2516
0.844852,0.444821,6.50867
0.927327,0.406735,5.00839
0.921602,0.130083,16.8742
0.250751,0.439992,107.179
0.262004,0.410175,115.519
0.450347,0.173124,15.4517
0.245702,0.234177,26.192
0.141212,0.0500619,1.57945
0.151008,0.547294,4.37901
0.319175,0.389104,95.4595
0.695866,0.515721,153.789
0.351159,0.150182,102.973
0.655072,0.141682,144.194
0.735933,0.320508,17.3671
